Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
4ENERGY INV (D),BE0003888089,BE0003888089,BRU,ENIN,7537 Alternative Electricity,EUR,1.45,5601,-4.6,2009-12-11 16:25,8351,"12,520,090","18,154,131",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,1.5,1.52,2009-12-11 16:20,1.45,2009-12-11 13:43,-19.44,3.93,2014-1-11,1.05,2022-11-11,-28.22,3.93,2014-1-11,1.05,2022-11-11,"=LIEN_HYPERTEXTE(""http://www.4energyinvest.com"";""http://www.4energyinvest.com"")",-,-,7000 Utilities,7500 Utilities,7530 Electricity,Yes,No,-,-
4ENERGY STR (D),BE0005625968,BE0005625968,BRU,ENINS,7537 Alternative Electricity,EUR,0.002,100,0,2002-12-11 15:00,0,"3,520,000","7,040",null,Belgium zone  ,,Call auction,0.002,0.002,2002-12-11 15:00,0.002,2002-12-11 15:00,-33.33,0.006,2020-9-11,0.002,2021-10-11,-33.33,0.01,2020-9-11,0,2021-10-11,-,-,-,7000 Utilities,7500 Utilities,7530 Electricity,No,No,-,-
AARDVARK INVEST,LU0111311071,LU0111311071,BRU,AVARK,0587 Alternative Fuels,EUR,1.32,173,1.54,2005-10-9 11:30,228,"1,572,898","2,076,225",null,Euro zone  ,PEA eligible,Double call auction,1.32,1.32,2005-10-9 11:30,1.32,2005-10-9 11:30,-78,5.95,2022-5-9,0.76,2027-8-9,-78,5.95,2022-5-9,0.76,2027-8-9,"=LIEN_HYPERTEXTE(""http://www.aardvarkinvestments.com"";""http://www.aardvarkinvestments.com"")",-,-,0001 Oil&Gas,0500 Oil & Gas,0580 Alternative Energy,Yes,No,Halted,2012-10-9
AB INBEV,BE0003793107,BE0003793107,BRU,ABI,3533 Brewers,EUR,44.205,2218652,-0.92,2009-12-11 17:35,98095677,"1,605,671,511","70,978,709,144",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,44.545,44.67,2009-12-11 9:01,43.89,2009-12-11 10:41,3.28,45.605,2008-12-11,33.845,2011-8-11,1.89,45.61,2008-12-11,33.85,2011-8-11,"=LIEN_HYPERTEXTE(""http://www.inbev.com"";""http://www.inbev.com"")",Robert Ottenstein,+32 16 27 62 43,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
AB INBEV STR VVPR,BE0005582532,BE0005582532,BRU,ABIS,3533 Brewers,EUR,0.001,805,0,2009-12-11 15:00,1,"1,075,077,854","1,075,078",null,Belgium zone  ,,Call auction,0.001,0.001,2009-12-11 15:00,0.001,2009-12-11 15:00,-75,0.005,2008-4-11,0.001,2008-12-11,-75,0.01,2008-4-11,0,2008-12-11,-,-,-,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,No,No,-,-
ABLYNX (D),BE0003877942,BE0003877942,BRU,ABLX,4573 Biotechnology,EUR,2.59,392040,1.57,2009-12-11 17:36,1023291,"43,689,895","113,156,828",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,2.55,2.79,2009-12-11 11:46,2.48,2009-12-11 12:45,-67.46,9.25,2007-4-11,2.06,2017-11-11,-67.38,9.25,2007-4-11,2.06,2017-11-11,"=LIEN_HYPERTEXTE(""http://www.ablynx.com"";""http://www.ablynx.com"")",Marieke Vermeersch,00 32 9 262 00 00,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
ABLYNX STR VVPR(D),BE0005620910,BE0005620910,BRU,ABLXS,4573 Biotechnology,EUR,0.004,2000,300,2006-12-11 15:00,8,"17,380,952","69,524",null,Belgium zone  ,,Call auction,0.004,0.004,2006-12-11 15:00,0.004,2006-12-11 15:00,300,0.004,2025-11-11,0.001,2028-11-11,-20,0.01,2017-12-10,0,2028-11-11,-,-,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,No,No,-,-
ACCENTIS,BE0003696102,BE0003696102,BRU,ACCB,8633 Real Estate Holding & Development,EUR,0.01,222800,0,2009-12-11 15:41,3568,"1,267,745,224","12,677,452",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,0.02,0.02,2009-12-11 9:00,0.01,2009-12-11 9:24,-50,0.03,2019-5-11,0.01,2008-12-11,-50,0.03,2019-5-11,0.01,2008-12-11,"=LIEN_HYPERTEXTE(""http://www.accentis.com"";""http://www.accentis.com"")",Frederik Strubbe,+32 (0)57 42 43 22,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
ACCENTIS STRIP (D),BE0005641155,BE0005641155,BRU,ACCBS,8633 Real Estate Holding & Development,EUR,0.001,1000,0,2009-11-11 15:00,1,"755,439,988","755,440",null,Belgium zone  ,,Call auction,0.001,0.001,2009-11-11 15:00,0.001,2009-11-11 15:00,-66.67,0.002,2017-2-11,0.001,2008-11-11,-66.67,0,2029-12-10,0,2008-11-11,-,-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,No,No,Halted,2009-12-11
ACKERMANS STRIP,BE0005562336,BE0005562336,BRU,ACKS,8775 Specialty Finance,EUR,0.15,3097,0,2009-12-11 15:00,465,"6,733,984","1,010,098",null,Belgium zone  ,,Call auction,0.15,0.15,2009-12-11 15:00,0.15,2009-12-11 15:00,-89.29,1.89,2013-4-11,0.149,2013-7-11,-88.28,1.89,2013-4-11,0.15,2013-7-11,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,No,No,-,-
