Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
A.S.T. GROUPE,FR0000076887,FR0000076887,PAR,ASP,3728 Home Construction,EUR,3.93,16625,0.77,2009/12/11 17:35,64563,"10,483,331","41,199,491",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,3.85,3.93,2009/12/11 17:29,3.8,2009/12/11 16:38,3.42,5.15,1930/3/11,2.7,2023/11/11,0.77,5.15,1930/3/11,2.7,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.ast-groupe.fr"";""http://www.ast-groupe.fr"")",Alain Tur,+33 4 72 81 42 34,3000 ConsumerGoods,3700 Personal,3720 Household Goods & Home Construction,Yes,No,-,-
AB SCIENCE,FR0010557264,FR0010557264,PAR,AB,4577 Pharmaceuticals,EUR,5.14,25682,1.38,2009/12/11 17:35,129854,"31,349,854","161,138,250",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,5,5.14,2009/12/11 15:33,4.99,2009/12/11 9:06,-35.75,11.4,2007/6/11,4.8,2001/11/11,-35.67,11.4,2007/6/11,4.8,2001/11/11,"=LIEN_HYPERTEXTE(""http://www.ab-science.com"";""http://www.ab-science.com"")",-,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
ABC ARBITRAGE,FR0004040608,FR0004040608,PAR,ABCA,8775 Specialty Finance,EUR,6.14,43635,0.16,2009/12/11 17:35,268296,"52,032,912","319,482,080",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,6.13,6.19,2009/12/11 13:01,6.1,2009/12/11 9:33,-15.54,7.8,2017/2/11,5.69,2009/8/11,-12.54,7.8,2017/2/11,5.69,2009/8/11,"=LIEN_HYPERTEXTE(""http://www.abc-arbitrage.com"";""http://www.abc-arbitrage.com"")",Julien Aumont,153005500,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
ACANTHE DEV.,FR0000064602,FR0000064602,PAR,ACAN,8671 Industrial & Office REITs,EUR,0.52,41709,-1.89,2009/12/11 17:35,21824,"120,816,870","62,824,772",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,0.56,0.56,2009/12/11 9:00,0.52,2009/12/11 14:35,64.25,0.65,1930/11/11,0.18,2012/9/11,57.58,0.65,1930/11/11,0.18,2012/9/11,"=LIEN_HYPERTEXTE(""http://www.acanthedeveloppement.com"";""http://www.acanthedeveloppement.com"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
ACCOR,FR0000120404,FR0000120404,PAR,AC,5753 Hotels,EUR,19.62,1609661,0.95,2009/12/11 17:36,31093792,"226,901,972","4,451,816,691",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,19.235,19.62,2009/12/11 17:35,18.89,2009/12/11 9:22,-41.08,36.2,2012/1/11,17.82,2025/11/11,-41.42,36.2,2012/1/11,17.82,2025/11/11,"=LIEN_HYPERTEXTE(""http://www.accor.com"";""http://www.accor.com"")",Sébastien Valentin,33145388626,5000 Consumer Services,5700 Travel & Leisure,5750 Travel & Leisure,Yes,Yes,-,-
ACTEOS,FR0000076861,FR0000076861,PAR,EOS,9537 Software,EUR,2.46,1881,0.82,2009/12/11 15:54,4551,"2,955,207","7,269,809",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,2.44,2.46,2009/12/11 15:54,2.4,2009/12/11 9:24,-1.99,3.38,2003/5/11,2.2,2028/11/11,-8.55,3.38,2003/5/11,2.2,2028/11/11,"=LIEN_HYPERTEXTE(""http://www.acteos.com"";""http://www.acteos.com"")",de Cand?+33 03 20 11 44 64,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-,
ACTIA GROUP,FR0000076655,FR0000076655,PAR,ATI,2737 Electronic Equipment,EUR,1.49,2723,3.47,2009/12/11 16:37,4027,"20,099,941","29,948,912",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,1.44,1.49,2009/12/11 16:37,1.42,2009/12/11 10:34,14.62,1.82,2002/5/11,1.31,2003/1/11,2.05,1.82,2002/5/11,1.29,2029/12/10,"=LIEN_HYPERTEXTE(""http://www.actiagroup.com"";""http://www.actiagroup.com"")",Catherine MALLET,05.61.17.61.08,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,Yes,No,-,-
ADC SIIC,FR0000065401,FR0000065401,PAR,ALDV,8673 Residential REITs,EUR,0.16,9000,0,2008/12/11 16:30,1410,"135,916,141","21,746,583",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,0.15,0.16,2008/12/11 16:30,0.15,2008/12/11 11:30,-33.33,0.29,1930/8/11,0.14,1930/11/11,-30.43,0.29,1930/8/11,0.14,1930/11/11,"=LIEN_HYPERTEXTE(""http://www.adcsiic.eu"";""http://www.adcsiic.eu"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,Halted,2009/12/11
ADCSIIC122014,FR0010561985,FR0010561985,PAR,DVBSI,8673 Residential REITs,EUR,0.01,968,0,2027/10/11 17:00,10,"66,701,102","667,011",null,French zone  ,PEA eligible,Double call auction,0.01,0.01,2027/10/11 17:00,0.01,2027/10/11 17:00,-50,0.03,2006/5/11,0.01,2025/10/11,-66.67,0.03,2006/5/11,0.01,2025/10/11,-,-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
ADL PARTNER,FR0000062978,FR0000062978,PAR,ALP,5555 Media Agencies,EUR,11.5,613,0,2009/12/11 13:23,7074,"4,361,344","50,155,456",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,11.51,11.6,2009/12/11 10:11,11.5,2009/12/11 13:23,37.72,15.8,2024/5/11,8.2,2004/1/11,40.76,15.8,2024/5/11,8.06,2017/12/10,"=LIEN_HYPERTEXTE(""http://www.adlpartner.com"";""http://www.adlpartner.com"")",Pierre Gautier,+33 (0)1 41 58 72 03,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
